wl,Si,Sugar,PS
1121,0.662217473,0.896218968,0.949449
1122,0.661908155,0.895741471,0.947017
1123,0.661279511,0.895412239,0.94483
1124,0.660745291,0.89504253,0.94183
1125,0.660033621,0.893932544,0.938708
1126,0.659679759,0.893589084,0.935072
1127,0.659538044,0.893683594,0.931069
1128,0.659809378,0.894237171,0.926706
1129,0.659415485,0.895045343,0.922304
1130,0.659099954,0.896419301,0.918126
1131,0.65861918,0.897313279,0.913507
1132,0.657484488,0.898375006,0.908786
1133,0.657231518,0.898910589,0.904105
1134,0.65728737,0.899189682,0.899082
1135,0.657466275,0.899356255,0.894641
1136,0.65815856,0.899342768,0.890087
1137,0.658367299,0.899282121,0.886324
1138,0.65829588,0.89901335,0.882551
1139,0.658562727,0.898916378,0.879749
1140,0.659077593,0.898812197,0.877255
1141,0.659195635,0.898673364,0.875595
1142,0.659193335,0.898552351,0.87458
1143,0.659521834,0.898412039,0.874008
1144,0.659345159,0.898458405,0.874552
1145,0.658688263,0.898840704,0.875991
1146,0.658421336,0.899085883,0.878169
1147,0.658314652,0.899480493,0.881328
1148,0.658097746,0.90000622,0.884906
1149,0.657886771,0.900357164,0.888867
1150,0.657626393,0.900950946,0.89334
1151,0.657370103,0.901978625,0.898318
1152,0.657073909,0.90256639,0.90311
1153,0.656637521,0.902761766,0.908058
1154,0.656514561,0.90341798,0.912733
1155,0.656534638,0.904249004,0.917178
1156,0.656482522,0.904701227,0.921392
1157,0.656425843,0.905257598,0.925535
1158,0.65654604,0.905641114,0.929199
1159,0.656645108,0.905631949,0.93264
1160,0.656891671,0.905939682,0.935942
1161,0.657217033,0.90604546,0.938771
1162,0.657442526,0.906317701,0.941422
1163,0.657518714,0.907000508,0.943493
1164,0.657468587,0.907141163,0.945293
1165,0.657594879,0.907221835,0.946902
1166,0.657808733,0.907396483,0.948122
1167,0.657901331,0.907461006,0.949376
1168,0.658070482,0.907162988,0.950635
1169,0.658108415,0.907296859,0.951657
1170,0.657972044,0.907814058,0.952588
1171,0.657944869,0.907911762,0.95337
1172,0.657980227,0.907887057,0.954029
1173,0.657877799,0.907902145,0.954534
1174,0.657775624,0.907744368,0.954897
1175,0.65759632,0.907681098,0.955128
1176,0.657284685,0.907737921,0.955124
1177,0.657000704,0.907711869,0.955223
1178,0.656687941,0.907626336,0.955412
1179,0.656363488,0.907503139,0.955348
1180,0.656040695,0.907423001,0.954992
1181,0.655663173,0.907628905,0.954594
1182,0.655361593,0.907705219,0.95381
1183,0.655149227,0.907763945,0.952877
1184,0.655031966,0.907863425,0.952247
1185,0.654984362,0.907775129,0.951599
1186,0.655028495,0.907723432,0.950892
1187,0.655181307,0.907730006,0.950023
1188,0.655391692,0.907728877,0.949123
1189,0.655722247,0.90771328,0.948066
1190,0.656039712,0.907677708,0.947088
1191,0.656329827,0.907613222,0.946175
1192,0.656721468,0.907612885,0.945194
1193,0.657173738,0.9076356,0.944126
1194,0.657660858,0.907672075,0.9431
1195,0.658215819,0.907758775,0.94208
1196,0.6589419,0.907850926,0.940918
1197,0.659532901,0.907918052,0.939788
1198,0.659982182,0.908016273,0.938682
1199,0.660452029,0.908099811,0.937653
1200,0.660854437,0.908211926,0.936676
1201,0.661257538,0.908374361,0.935745
1202,0.661508698,0.90832115,0.934945
1203,0.661601169,0.908392925,0.934147
1204,0.66173687,0.908629155,0.933473
1205,0.661829051,0.908752009,0.932984
1206,0.662009328,0.909030546,0.932614
1207,0.662233326,0.9091549,0.932487
1208,0.662390225,0.909137716,0.932547
1209,0.662527987,0.909251534,0.932819
1210,0.662581549,0.909331865,0.933432
1211,0.66266191,0.909507861,0.934043
1212,0.662796186,0.909938746,0.934724
1213,0.66286565,0.910108125,0.935636
1214,0.662861666,0.910204825,0.936712
1215,0.662951542,0.910197594,0.937799
1216,0.663066434,0.910175963,0.939169
1217,0.663067173,0.910195706,0.940464
1218,0.663243988,0.910320358,0.941761
1219,0.663422117,0.910594791,0.943152
1220,0.663495815,0.910830848,0.944452
1221,0.663637793,0.911043788,0.945945
1222,0.663713718,0.91135772,0.947516
1223,0.663830733,0.911529125,0.949103
1224,0.664028173,0.911721954,0.95074
1225,0.664219056,0.911995213,0.952144
1226,0.664450871,0.912120874,0.953434
1227,0.664616746,0.912299534,0.954758
1228,0.664707987,0.912585581,0.956012
1229,0.664843896,0.912733282,0.957395
1230,0.664948407,0.912805455,0.95881
1231,0.66500081,0.912916457,0.960034
1232,0.665098192,0.91305162,0.961183
1233,0.665234036,0.913159697,0.962249
1234,0.665357783,0.91326675,0.963284
1235,0.665369622,0.913360981,0.964351
1236,0.665395271,0.91352497,0.965298
1237,0.665474794,0.91377414,0.966095
1238,0.665510564,0.914048866,0.966914
1239,0.66570268,0.914266449,0.967532
1240,0.665945176,0.914415633,0.968074
1241,0.666001049,0.914463457,0.968798
1242,0.666049409,0.914341506,0.96942
1243,0.666062983,0.914211086,0.969903
1244,0.66603691,0.914268407,0.970404
1245,0.666129671,0.914419668,0.970853
1246,0.666203797,0.914600077,0.971224
1247,0.66626252,0.914943338,0.971623
1248,0.66637884,0.915187769,0.972028
1249,0.666479505,0.915232165,0.972444
1250,0.666600048,0.915138842,0.972991
1251,0.666685547,0.915058693,0.97362
1252,0.666692083,0.91512292,0.97417
1253,0.666710021,0.915140214,0.974586
1254,0.666797297,0.915233752,0.974933
1255,0.666902159,0.91544198,0.97518
1256,0.667085322,0.915639663,0.975234
1257,0.667305464,0.915749334,0.975364
1258,0.667472702,0.915879281,0.975732
1259,0.667579255,0.915905029,0.976014
1260,0.667635244,0.915939479,0.976302
1261,0.66765688,0.915881593,0.976574
1262,0.667697598,0.915858981,0.976676
1263,0.667722821,0.916027514,0.976906
1264,0.667767136,0.916217672,0.97716
1265,0.667870529,0.916472278,0.977366
1266,0.667874241,0.916758293,0.977738
1267,0.667845845,0.916971887,0.978112
1268,0.667779377,0.917162193,0.978345
1269,0.667629995,0.917332882,0.978582
1270,0.667607474,0.9174024,0.978839
1271,0.667673346,0.917547239,0.978901
1272,0.667660207,0.917678532,0.979112
1273,0.667670895,0.917736735,0.979405
